Fannin,Texas,2135
Faribault,Minnesota,985
Faulk,South Dakota,162
Faulkner,Arkansas,8561
Fauquier,Virginia,4541
Fayette,Alabama,1060
Fayette,Georgia,9144
Fayette,Illinois,1371
Fayette,Indiana,1615
Fayette,Iowa,1495
Fayette,Kentucky,20783
Fayette,Ohio,1730
Fayette,Pennsylvania,9191
Fayette,Tennessee,1733
Fayette,Texas,1558
Fayette,West Virginia,3098
Fentress,Tennessee,1152
Fergus,Montana,661
Ferry,Washington,490
Fillmore,Minnesota,1526
Fillmore,Nebraska,442
Finney,Kansas,3170
Fisher,Texas,291
Flagler,Florida,5509
Flathead,Montana,6023
Fleming,Kentucky,1000
Florence,South Carolina,9956
Florence,Wisconsin,198
Floyd,Georgia,7063
Floyd,Indiana,5170
Floyd,Iowa,1129
Floyd,Kentucky,2602
Floyd,Texas,490
Floyd,Virginia,767
Fluvanna,Virginia,1445
Foard,Texas,103
Fond du Lac,Wisconsin,6746
Ford,Illinois,931
Ford,Kansas,2785
Forest,Pennsylvania,555
Forest,Wisconsin,702
Forrest,Mississippi,8169
Forsyth,Georgia,8000
Forsyth,North Carolina,26468
Fort Bend,Texas,34259
Foster,North Dakota,233
Fountain,Indiana,1418
Franklin,Alabama,2374
Franklin,Arkansas,1351
Franklin,Florida,509
Franklin,Georgia,1746
Franklin,Idaho,1020
Franklin,Illinois,2680
Franklin,Indiana,1377
Franklin,Iowa,624
Franklin,Kansas,1953
Franklin,Kentucky,3410
Franklin,Louisiana,1319
Franklin,Maine,2322
Franklin,Massachusetts,4302
Franklin,Mississippi,514
Franklin,Missouri,7632
Franklin,Nebraska,194
Franklin,New York,3826
Franklin,North Carolina,3702
Franklin,Ohio,80743
Franklin,Pennsylvania,7551
Franklin,Tennessee,2695
Franklin,Texas,653
Franklin,Vermont,2920
Franklin,Virginia,3431
Franklin,Washington,6156
Franklin (city),Virginia,945
Frederick,Maryland,17574
Frederick,Virginia,5474
Fredericksburg (city),Virginia,2389
Freeborn,Minnesota,1816
Freestone,Texas,1104
Fremont,Colorado,2399
Fremont,Idaho,1007
Fremont,Iowa,504
Fremont,Wyoming,2678
Fresno,California,80231
Frio,Texas,1368
Frontier,Nebraska,244
Fulton,Arkansas,645
Fulton,Georgia,66795
Fulton,Illinois,2256
Fulton,Indiana,1435
Fulton,Kentucky,435
Fulton,New York,3467
Fulton,Ohio,3499
Fulton,Pennsylvania,936
Furnas,Nebraska,374
Gadsden,Florida,3168
Gage,Nebraska,1335
Gaines,Texas,1463
Galax (city),Virginia,1080
Gallatin,Illinois,364
Gallatin,Kentucky,593
Gallatin,Montana,6592
Gallia,Ohio,2282
Galveston,Texas,22269
Garden,Nebraska,128
Garfield,Colorado,4023
Garfield,Montana,44
Garfield,Nebraska,147
Garfield,Oklahoma,3767
Garfield,Utah,373
Garfield,Washington,144
Garland,Arkansas,6134
Garrard,Kentucky,1133
Garrett,Maryland,2075
Garvin,Oklahoma,1963
Garza,Texas,490
Gasconade,Missouri,1023
Gaston,North Carolina,14222
Gates,North Carolina,896
Geary,Kansas,2926
Geauga,Ohio,6743
Gem,Idaho,1123
Genesee,Michigan,33534
Genesee,New York,4438
Geneva,Alabama,1815
Gentry,Missouri,513
George,Mississippi,2114
Georgetown,South Carolina,4378
Gibson,Indiana,2361
Gibson,Tennessee,3679
Gila,Arizona,3594
Gilchrist,Florida,1363
Giles,Tennessee,1991
Giles,Virginia,1089
Gillespie,Texas,1441
Gilliam,Oregon,98
