POINT_ID,ZIP_CODE,LAT,LONG,POPULATION,CITY,COUNTY,STATE,STATE_ABBREVIATION
347175,85602,32.1674953,-110.4118746,515,Benson,Cochise,Arizona,AZ
347176,85627,32.0077865,-110.2355411,74,Pomerene,Cochise,Arizona,AZ
347177,85658,32.5510518,-111.1434464,273,Marana,nan,Arizona,AZ
347178,85739,32.6210724,-110.9896669,671,Tucson,Pima,Arizona,AZ
347179,85623,32.7062458,-110.8052106,250,Oracle,Pinal,Arizona,AZ
347180,85135,33.0037715,-110.7855066,66,Hayden,Gila,Arizona,AZ
347181,85192,32.9629423,-110.6785309,153,Winkelman,Gila,Arizona,AZ
347182,85137,33.1363767,-111.0225696,164,Kearny,Pinal,Arizona,AZ
347183,85173,33.2701631,-111.123285,182,Superior,Pinal,Arizona,AZ
347185,85539,33.340635,-110.8972236,269,Miami,Gila,Arizona,AZ
347188,85631,32.5909111,-110.5512689,281,San Manuel,Pinal,Arizona,AZ
347189,85618,32.7197077,-110.5380942,125,Mammoth,Pinal,Arizona,AZ
347192,85530,33.0651741,-110.1996483,241,Bylas,Graham,Arizona,AZ
347193,85542,33.3246772,-110.3108464,354,Peridot,Gila,Arizona,AZ
347194,85638,31.7161717,-110.0516039,111,Tombstone,Cochise,Arizona,AZ
347195,85617,31.5196241,-109.7085926,83,Mc Neal,Cochise,Arizona,AZ
347196,85610,31.7278234,-109.7335226,101,Elfrida,Cochise,Arizona,AZ
347197,85625,31.8870696,-109.614806,77,Pearce,Cochise,Arizona,AZ
347198,85609,32.0692971,-110.0969069,12,Dragoon,Cochise,Arizona,AZ
347199,85606,32.0425543,-109.8989826,60,Cochise,Cochise,Arizona,AZ
347200,85643,32.4072454,-109.96549,669,Willcox,Cochise,Arizona,AZ
347201,85607,31.5207788,-109.3792198,1841,Douglas,Cochise,Arizona,AZ
347203,85605,32.3028124,-109.4815229,29,Bowie,Cochise,Arizona,AZ
347204,85632,32.0935868,-109.1332319,39,San Simon,Cochise,Arizona,AZ
347205,85543,32.9785732,-109.9893945,290,Pima,Graham,Arizona,AZ
347206,85551,32.7243288,-109.588476,30,Solomon,Graham,Arizona,AZ
347207,85531,32.8841086,-109.790074,56,Central,Graham,Arizona,AZ
347208,85552,32.8199507,-109.7708304,809,Thatcher,Graham,Arizona,AZ
347210,85536,33.1206511,-110.0159393,16,Fort Thomas,Graham,Arizona,AZ
347211,85546,32.8137517,-109.3552302,1369,Safford,Graham,Arizona,AZ
347212,85540,33.0028905,-109.3815478,251,Morenci,Greenlee,Arizona,AZ
347213,85534,32.7537823,-109.1416554,194,Duncan,Greenlee,Arizona,AZ
347214,85533,33.3539435,-109.4057828,193,Clifton,Greenlee,Arizona,AZ
347216,88056,31.8442057,-108.9825237,8,Rodeo,Hidalgo,New Mexico,NM
347217,88020,31.7724101,-108.8394234,79,Animas,Hidalgo,New Mexico,NM
347219,88045,32.3850889,-108.7560934,297,Lordsburg,Hidalgo,New Mexico,NM
347220,88040,31.5972313,-108.3549772,5,Hachita,Grant,New Mexico,NM
347221,88028,32.9328197,-108.635947,21,Cliff,Grant,New Mexico,NM
347222,88039,33.2983496,-108.8032829,15,Glenwood,Catron,New Mexico,NM
347223,88025,33.0468063,-108.7434483,14,Buckhorn,Grant,New Mexico,NM
347224,88061,32.6541965,-108.333572,1213,Silver City,Grant,New Mexico,NM
347225,88065,32.6774758,-108.3288768,34,Tyrone,Grant,New Mexico,NM
347227,88023,32.7297332,-108.1445781,168,Bayard,Grant,New Mexico,NM
347228,88026,32.751993,-108.162999,107,Santa Clara,Grant,New Mexico,NM
347229,88043,32.610316,-108.1000958,108,Hurley,Grant,New Mexico,NM
