COUNTY,LAT,LONG,POPULATION,STATE,STATE_ABBREVIATION
St. Lucie,27.2439743,-80.38232,17560,Florida,FL
St. Martin,30.0801748,-91.8973823,3478,Louisiana,LA
St. Mary,29.8055512,-91.4983528,4067,Louisiana,LA
St. Mary's,38.2312414,-76.7711383,8214,Maryland,MD
St. Tammany,30.4226234,-90.205827,15928,Louisiana,LA
Stafford,37.9346015,-98.9584621,260,Kansas,KS
Stafford,38.3997669,-77.5473097,10729,Virginia,VA
Stanislaus,37.3259547,-121.1933829,43057,California,CA
Stanley,44.40031,-100.6282206,197,South Dakota,SD
Stanly,35.2074938,-80.4285168,4311,North Carolina,NC
Stanton,37.5685968,-101.9131105,171,Kansas,KS
Stanton,41.9558483,-97.1991126,204,Nebraska,NE
Stark,41.0950421,-89.9751325,675,Illinois,IL
Stark,46.894005,-103.2632849,1728,North Dakota,ND
Stark,40.6452103,-81.6591322,26397,Ohio,OH
Starke,41.2045017,-86.8973322,1592,Indiana,IN
Starr,26.5233441,-99.111146,5714,Texas,TX
Staunton (city),38.1343872,-79.0855636,2286,Virginia,VA
Ste. Genevieve,38.0528583,-90.2674043,1127,Missouri,MO
Stearns,45.488301,-95.1626592,13836,Minnesota,MN
Steele,43.8857752,-93.2909946,2514,Minnesota,MN
Steele,47.2313509,-97.9293939,106,North Dakota,ND
Stephens,34.5524186,-83.3259293,2120,Georgia,GA
Stephens,34.350658,-97.9447253,4539,Oklahoma,OK
Stephens,32.8012132,-98.8869799,625,Texas,TX
Stephenson,42.3187877,-89.9150912,3348,Illinois,IL
Sterling,31.8027482,-101.0556248,69,Texas,TX
Steuben,41.565687,-85.1579781,2800,Indiana,IN
Steuben,42.0577904,-77.6803073,6841,New York,NY
Stevens,37.1586473,-101.3434725,447,Kansas,KS
Stevens,45.5481333,-96.1928632,987,Minnesota,MN
Stevens,47.8984701,-118.0036793,2605,Washington,WA
Stewart,32.1161281,-84.9634488,377,Georgia,GA
Stewart,36.4443434,-87.8766571,990,Tennessee,TN
Stillwater,45.2663269,-109.8900824,619,Montana,MT
Stoddard,36.6659459,-89.9988308,2086,Missouri,MO
Stokes,36.3372457,-80.4519109,3074,North Carolina,NC
Stone,35.7860513,-92.3210111,619,Arkansas,AR
